Comment,Description,Designator,Footprint,LibRef,Quantity

"Cap Semi","Capacitor (Semiconductor SIM Model)","C1, C2, C3, C4, C5, C6, C7, C8, C9","C1206","Cap Semi","9"
"B340A-13-F","DIODE SCHOTTKY 40V 3A SMA","D1, D2","FP-SMA-MFG","CMP-1667-00003-2","2"
"LG L29K-G2J1-24-Z","LED GREEN DIFFUSED 0603 SMD","D3, D4","FP-LG_L29K-MFG","CMP-62016-000024-1","2"
"LB Q39E-N1OO-35-1","LED BLUE DIFFUSED 0603 SMD","D5","FP-LB_Q39E-MFG","CMP-62016-000029-1","1"
"BAT","Male Header, Pitch 2 mm, 1 x 2 Position, Height 6 mm, Tail Length 3.4 mm, -25 to 85 degC, RoHS, Bulk","J1","JST-B2B-PH-K-S_V","CMP-2000-05162-1","1"
"SWD","Male Header, Pitch 2 mm, 1 x 2 Position, Height 6 mm, Tail Length 3.4 mm, -25 to 85 degC, RoHS, Bulk","J2","JST-B2B-PH-K-S_V","CMP-2000-05162-1","1"
"SOL","Male Header, Pitch 2 mm, 1 x 2 Position, Height 6 mm, Tail Length 3.4 mm, -25 to 85 degC, RoHS, Bulk","J3","JST-B2B-PH-K-S_V","CMP-2000-05162-1","1"
"THR","Male Header, Pitch 2 mm, 1 x 2 Position, Height 6 mm, Tail Length 3.4 mm, -25 to 85 degC, RoHS, Bulk","J4","JST-B2B-PH-K-S_V","CMP-2000-05162-1","1"
"A-USBSB","Connector Receptacle, USB Type B, Right Angle, -20 to 85 degC, 4-Pin THD, RoHS, Tray","J5","ASSM-A-USBSB-4_V","CMP-2000-05874-1","1"
"CAM","Male Header, Pitch 2 mm, 1 x 4 Position, Height 6 mm, Tail Length 3.4 mm, -25 to 85 degC, RoHS, Bulk","P1","JST-B4B-PH-K-S_V","CMP-2000-05165-1","1"
"100k","RES SMD 100K OHM 1% 1/4W 1206","R1, R2","SMD-1206-RES","ERJ-8ENF1003V","2"
"10k","RES SMD 10K OHM 1% 1/4W 1206","R3, R4, R6","SMD-1206-RES","ERJ-8ENF1002V","3"
"1k","RES SMD 1K OHM 1% 1/4W 1206","R5, R9, R10, R11","SMD-1206-RES","ERJ-8ENF1001V","4"
"22","RES SMD 22 OHM 1% 1/4W 1206","R7, R8","SMD-1206-RES","ERJ-8ENF22R0V","2"
"503500-0991","SD and Combo Memory Card Connector, 9 Position Surface Mount, -25 to 85 degC, RoHS, Tape and Reel","SD1","MOLX-503500-0991_V","CMP-1676-00006-1","1"
"RST","SWITCH TACTILE SPST-NO 0.05A 24V","SW1","FP-1825910-2-0","CMP-03407-000004-1","1"
"MDBT50Q-1MV2","MDBT50Q-1MV2","U1","XCVR_MDBT50Q-1MV2","MDBT50Q-1MV2","1"
"BQ24074RGTT","USB-Friendly Li-Ion Battery Charger and Power-Path Management IC, 10.5 V OVP, 4.3 V, -40 to 85 degC, 16-pin QFN (RGT), Green (RoHS & no Sb/Br)","U2","RGT0016C_V","CMP-0321-00218-2","1"
"TC1262-3.3VAB","500mA Fixed Output CMOS LDO, 3-Pin TO-220, Extended Temperature","U3","TO-220-AB3","CMP-0136-01006-1","1"
"HPP845E031R4","Digital Relative Humidity Sensor with Temperature Output, 1.5 to 3.6 V, -40 to 125 degC, 6-Pin SON, RoHS, Tape and Reel","U4","TECO-SON-6_V","CMP-2100-03646-1","1"
"ABS25-32.768KHZ-T","Low Frequency Crystal, 32.768 KHz, -40 to 85 degC, 4-Pin SMD, RoHS, Tape and Reel","X1","ABRA-ABS25-4_V","CMP-2000-05037-1","1"
